County,County Value,Error Margin,Z-Score
Barbour,5.4,5.2-5.7,0.99
Berkeley,5.2,5.0-5.4,0.16
Boone,5.5,5.3-5.8,1.31
Braxton,5.1,4.8-5.4,-0.08
Brooke,4.8,4.6-5.0,-1.02
Cabell,5.1,4.9-5.3,-0.10
Calhoun,5.1,4.9-5.4,-0.05
Clay,5.3,5.1-5.6,0.65
Doddridge,4.9,4.7-5.2,-0.65
Fayette,5.3,5.1-5.6,0.69
Gilmer,5.1,4.8-5.3,-0.20
Grant,5.1,4.8-5.3,-0.16
Greenbrier,4.8,4.6-5.0,-1.07
Hampshire,5.1,4.8-5.3,-0.13
Hancock,4.7,4.5-5.0,-1.30
Hardy,4.9,4.7-5.1,-0.76
Harrison,5.1,4.9-5.3,-0.14
Jackson,5.1,4.8-5.3,-0.18
Jefferson,4.5,4.3-4.7,-1.98
Kanawha,4.7,4.6-4.9,-1.26
Lewis,5.0,4.8-5.3,-0.27
Lincoln,5.4,5.2-5.7,1.03
Logan,5.5,5.3-5.8,1.28
Marion,4.9,4.7-5.1,-0.76
Marshall,5.1,4.8-5.3,-0.12
Mason,5.1,4.9-5.3,-0.08
McDowell,6.0,5.7-6.2,2.73
Mercer,5.5,5.3-5.7,1.28
Mineral,4.9,4.7-5.1,-0.64
Mingo,5.6,5.3-5.8,1.45
Monongalia,4.7,4.5-4.9,-1.26
Monroe,4.9,4.7-5.2,-0.63
Morgan,4.9,4.7-5.1,-0.75
Nicholas,5.6,5.3-5.8,1.53
Ohio,4.9,4.7-5.1,-0.78
Pendleton,4.9,4.7-5.1,-0.70
Pleasants,4.9,4.6-5.2,-0.74
Pocahontas,5.1,4.8-5.3,-0.14
Preston,4.8,4.6-5.1,-0.94
Putnam,4.9,4.7-5.1,-0.78
Raleigh,5.6,5.4-5.8,1.60
Randolph,5.2,5.0-5.5,0.38
Ritchie,5.0,4.8-5.3,-0.30
Roane,5.2,4.9-5.4,0.10
Summers,5.6,5.3-5.8,1.40
Taylor,5.1,4.9-5.4,-0.07
Tucker,4.9,4.7-5.2,-0.65
Tyler,5.0,4.7-5.2,-0.53
Upshur,4.9,4.7-5.1,-0.73
Wayne,5.3,5.1-5.5,0.57
Webster,5.3,5.1-5.6,0.63
Wetzel,5.3,5.1-5.6,0.68
Wirt,5.2,4.9-5.5,0.25
Wood,4.7,4.4-4.9,-1.49
Wyoming,6.0,5.7-6.2,2.71